0,0.00166029,0.0332055,0.332048
0.1,0.006641,0.0664077,0.331984
0.2,0.0149415,0.0995985,0.331809
0.3,0.0265599,0.132764,0.33147
0.4,0.0414928,0.165885,0.330911
0.5,0.0597346,0.198937,0.330079
0.6,0.0812769,0.23189,0.328922
0.7,0.106108,0.264709,0.327389
0.8,0.134213,0.297354,0.325432
0.9,0.165572,0.32978,0.323007
1,0.20016,0.361938,0.320071
1.1,0.237949,0.393776,0.316589
1.2,0.278903,0.425237,0.312529
1.3,0.322981,0.456261,0.307865
1.4,0.370138,0.486789,0.30258
1.5,0.420321,0.516756,0.296663
1.6,0.473469,0.5461,0.290111
1.7,0.529518,0.574758,0.282931
1.8,0.588395,0.602666,0.275136
1.9,0.650024,0.629765,0.266751
2,0.71432,0.655998,0.257809
2.1,0.781193,0.68131,0.248351
2.2,0.850549,0.705652,0.238426
2.3,0.92229,0.728981,0.228092
2.4,0.99631,0.751259,0.217412
2.5,1.07251,0.772454,0.206455
2.6,1.15076,0.792543,0.195294
2.7,1.23098,0.811509,0.184007
2.8,1.31303,0.829343,0.172669
2.9,1.39681,0.846044,0.16136
3,1.4822,0.861618,0.150155
3.1,1.56909,0.876081,0.139128
3.2,1.65738,0.889452,0.128347
3.3,1.74695,0.901761,0.117876
3.4,1.8377,0.91304,0.107773
3.5,1.92952,0.923329,0.0980863
3.6,2.02233,0.932672,0.0888594
3.7,2.11603,0.941117,0.080126
3.8,2.21053,0.948715,0.0719117
3.9,2.30575,0.955518,0.0642342
4,2.40161,0.96158,0.0571029
4.1,2.49804,0.966956,0.0505198
4.2,2.59498,0.971702,0.0444802
4.3,2.69236,0.97587,0.0389727
4.4,2.79013,0.979514,0.033981
4.5,2.88825,0.982683,0.0294839
4.6,2.98666,0.985426,0.0254566
4.7,3.08532,0.987789,0.0218713
4.8,3.1842,0.989814,0.0186984
4.9,3.28327,0.991541,0.0159069
5,3.3825,0.993007,0.0134652
5.1,3.48187,0.994245,0.0113419
5.2,3.58134,0.995285,0.00950603
5.3,3.68092,0.996155,0.00792777
5.4,3.78057,0.996878,0.0065787
5.5,3.88029,0.997477,0.00543206
5.6,3.98006,0.997971,0.00446296
5.7,4.07988,0.998375,0.00364851
5.8,4.17973,0.998705,0.00296783
5.9,4.27962,0.998972,0.00240212
6,4.37953,0.999188,0.00193456
6.1,4.47945,0.999362,0.00155024
6.2,4.5794,0.999501,0.00123608
6.3,4.67935,0.999611,0.000980671
6.4,4.77932,0.999699,0.000774159
6.5,4.87929,0.999767,0.000608089
6.6,4.97927,0.999821,0.000475262
6.7,5.07926,0.999863,0.000369597
6.8,5.17925,0.999896,0.000285991
6.9,5.27924,0.999921,0.000220195
7,5.37923,0.99994,0.00016869
7.1,5.47922,0.999955,0.000128589
7.2,5.57922,0.999966,9.75314e-05
7.3,5.67922,0.999975,7.36064e-05
7.4,5.77921,0.999981,5.52734e-05
7.5,5.87921,0.999986,4.12996e-05
7.6,5.97921,0.99999,3.07047e-05
7.7,6.07921,0.999992,2.2714e-05
7.8,6.17921,0.999994,1.67191e-05
7.9,6.27921,0.999996,1.22451e-05
8,6.37921,0.999997,8.92358e-06
8.1,6.47921,0.999998,6.47063e-06
8.2,6.57921,0.999998,4.66858e-06
8.3,6.67921,0.999999,3.3516e-06
